1	title: “Đập hộp” Galaxy S20 Ultra: choáng ngợp với những tính năng khủng	title : “ Đập hộp ” Galaxy S20 Ultra : choáng ngợp với những tính năng khủng
62	Thêm nữa máy còn hỗ trợ quay video có độ phân giải lên tới 8K, thậm chí lớn hơn cả chiếc máy ảnh mà mình đang sử dụng.	Thêm nữa máy còn hỗ trợ quay video có độ phân giải lên tới 8K , thậm chí lớn hơn cả chiếc máy ảnh mà mình đang sử dụng .
63	alt: anh 12	alt : anh 12
64	des:	des :
65	Cuối cùng là về dung lượng pin, máy có pin 5.000mAh.	Cuối cùng là về dung lượng pin , máy có pin 5.000mAh .
66	Đây là một con số lớn và rất thoải mái cho một ngày sử dụng.	Đây là một con số lớn và rất thoải mái cho một ngày sử dụng .
67	Máy còn hỗ trợ sạc nhanh tới 45W nên việc sạc 5.000mAh cũng không tốn quá nhiều thời gian.	Máy còn hỗ trợ sạc nhanh tới 45W nên việc sạc 5.000mAh cũng không tốn quá nhiều thời gian .
68	Giả sử một ngày bạn trót chơi game hay chụp ảnh quá nhiều, cắm sạc một chút là lại đủ dùng ngay.	Giả sử một ngày bạn trót chơi game hay chụp ảnh quá nhiều , cắm sạc một chút là lại đủ dùng ngay .
69	alt: anh 13	alt : anh 13
70	des:	des :
71	Tạm kết	Tạm kết
72	Tổng kết lại, Galaxy S20 Ultra là một chiếc máy cực kỳ đáng mua.	Tổng kết lại , Galaxy S20 Ultra là một chiếc máy cực kỳ đáng mua .
73	Những ai thích trải nghiệm công nghệ mới sẽ không thất vọng khi cầm trên tay chiếc máy này.	Những ai thích trải nghiệm công nghệ mới sẽ không thất vọng khi cầm trên tay chiếc máy này .
74	Hiện tại Galaxy S20 Ultra đã chính thức được đưa lên kệ Hoàng Hà Mobile.	Hiện tại Galaxy S20 Ultra đã chính thức được đưa lên kệ Hoàng Hà Mobile .
75	Khi mua Galaxy S20 Series tại Hoàng Hà, khách hàng sẽ được tặng bộ quà trị giá tới 10.000.000đ.	Khi mua Galaxy S20 Series tại Hoàng Hà , khách hàng sẽ được tặng bộ quà trị giá tới 10.000.000đ .
76	Không chỉ vậy, trong hai ngày 7 và 8/3, Hoàng Hà sẽ giảm thẳng 2.000.000đ vào giá máy, giảm thêm 500.000đ với khách hàng thân thiết.	Không chỉ vậy , trong hai ngày 7 và 8 / 3 , Hoàng Hà sẽ giảm thẳng 2.000.000đ vào giá máy , giảm thêm 500.000đ với khách hàng thân thiết .
77	Hãy đặt mua ngay để không bỏ lỡ những ưu đãi hấp dẫn này nha.	Hãy đặt mua ngay để không bỏ lỡ những ưu đãi hấp dẫn này nha .
78	Tham gia Hoàng Hà Mobile Group để cập nhật những chương trình và ưu đãi sớm nhất	Tham gia Hoàng Hà Mobile Group để cập nhật những chương trình và ưu đãi sớm nhất
79	Cùng Follow kênh Youtube của Hoàng Hà Mobile để cập nhật những tin tức mới nhất, sinh động nhất nhé!	Cùng Follow kênh Youtube của Hoàng Hà Mobile để cập nhật những tin tức mới nhất , sinh động nhất nhé !
{"subject": ["6-1&&Hộp", "6-2&&đựng", "6-3&&Galaxy", "6-4&&S20", "6-5&&Ultra"], "object": [], "aspect": ["6-8&&kích", "6-9&&thước"], "predicate": ["6-10&&lớn", "6-11&&nhất", "6-12&&trong", "6-13&&Galaxy", "6-14&&S20", "6-15&&Series", "6-16&&vừa", "6-17&&ra", "6-18&&mắt"], "label": "SUP"}
{"subject": ["13-11&&máy"], "object": [], "aspect": ["13-4&&khả", "13-5&&năng", "13-6&&chống", "13-7&&chịu", "13-8&&va", "13-9&&đập"], "predicate": ["13-13&&nâng", "13-14&&cao", "13-15&&hơn"], "label": "COM+"}
{"subject": ["14-7&&máy"], "object": [], "aspect": [], "predicate": ["14-8&&đầm", "14-9&&tay", "14-10&&hơn"], "label": "COM+"}
{"subject": ["29-22&&chiếc", "29-23&&máy"], "object": [], "aspect": ["29-25&&màn", "29-26&&hình"], "predicate": ["29-27&&đẹp", "29-28&&nhất", "29-29&&hiện", "29-30&&nay"], "label": "SUP+"}
{"subject": ["32-8&&S20", "32-9&&Ultra"], "object": ["32-17&&S10"], "aspect": ["32-1&&Độ", "32-2&&bo", "32-3&&cong", "32-4&&hai", "32-5&&cạnh", "32-6&&bên"], "predicate": ["32-12&&giảm", "32-13&&bớt"], "label": "COM"}
{"subject": ["33-7&&máy"], "object": ["32-17&&S10"], "aspect": ["33-4&&thao", "33-5&&tác"], "predicate": ["33-8&&đỡ", "33-9&&bị", "33-10&&cảm", "33-11&&ứng", "33-12&&nhầm", "33-13&&hơn", "33-14&&rất", "33-15&&nhiều"], "label": "COM+"}
{"subject": ["45-7&&S20", "45-8&&Ultra"], "object": [], "aspect": ["45-10&&con", "45-11&&chip", "45-12&&Exynos", "45-13&&990"], "predicate": ["45-14&&mạnh", "45-15&&mẽ", "45-16&&nhất", "45-17&&của", "45-18&&Samsung"], "label": "SUP+"}
{"subject": ["62-3&&máy"], "object": ["62-22&&chiếc", "62-23&&máy", "62-24&&ảnh"], "aspect": ["62-5&&hỗ", "62-6&&trợ", "62-7&&quay", "62-8&&video", "62-9&&có", "62-10&&độ", "62-11&&phân", "62-12&&giải"], "predicate": ["62-19&&lớn", "62-20&&hơn"], "label": "COM+"}
