1	title: Đánh giá Samsung Galaxy M51: Pin rất khủng, màn hình đẹp, giá rẻ	title : Đánh giá Samsung Galaxy M51 : Pin rất khủng , màn hình đẹp , giá rẻ
16	des: Samsung Galaxy M51	des : Samsung Galaxy M51
17	Nhưng đối với Samsung Galaxy M51 thì vấn đề đó đã được giải quyết, mặc dù nó mang trong mình viên pin 7000 mAh nhưng độ dày của nó cũng chỉ tương đương như những chiếc S20 mà thôi.	Nhưng đối với Samsung Galaxy M51 thì vấn đề đó đã được giải quyết , mặc dù nó mang trong mình viên pin 7000 mAh nhưng độ dày của nó cũng chỉ tương đương như những chiếc S20 mà thôi .
18	Tuy nhiên khi nhắc tới độ nặng, nó chỉ được hoàn thiện bằng nhựa giả kính bên ngoài, nó vẫn có sức nặng 213 g.	Tuy nhiên khi nhắc tới độ nặng , nó chỉ được hoàn thiện bằng nhựa giả kính bên ngoài , nó vẫn có sức nặng 213 g .
19	Như vậy với độ dày 9.5 mm cùng cân nặng này mà có viên pin 7.000 mAh là chấp nhận được ở một chiếc smartphone 2020.	Như vậy với độ dày 9.5 mm cùng cân nặng này mà có viên pin 7.000 mAh là chấp nhận được ở một chiếc smartphone 2020 .
20	Ngoài độ dày và trọng lượng mang tính đột phá thì hầu hết thiết kế của chiếc M51 này là một điển hình của Samsung trong năm 2020.	Ngoài độ dày và trọng lượng mang tính đột phá thì hầu hết thiết kế của chiếc M51 này là một điển hình của Samsung trong năm 2020 .
21	Đó là một mặt lưng cong, các cạnh phẳng và các góc bo tròn.	Đó là một mặt lưng cong , các cạnh phẳng và các góc bo tròn .
22	Lựa chọn màu sắc có vẻ hơi đơn điệu khi bạn chỉ có 2 lựa chọn màu là Celestial Black, Electric Blue.	Lựa chọn màu sắc có vẻ hơi đơn điệu khi bạn chỉ có 2 lựa chọn màu là Celestial Black , Electric Blue .
23	Mặt trước	Mặt trước
24	Mặt trước là một màn hình Super AMOLED Plus lớn tới 6.7 inch.	Mặt trước là một màn hình Super AMOLED Plus lớn tới 6.7 inch .
25	Màn hình thực sự lớn kết hợp với các cạnh cực mỏng cho trải nghiệm màn hình là rất tuyệt vời.	Màn hình thực sự lớn kết hợp với các cạnh cực mỏng cho trải nghiệm màn hình là rất tuyệt vời .
26	alt: Samsung Galaxy M51	alt : Samsung Galaxy M51
27	des: Samsung Galaxy M51	des : Samsung Galaxy M51
28	Màn hình đục lỗ không khống chế ở góc màn hình mà lại là chính giữa có vẻ hơi lạ so với những màn hình khác.	Màn hình đục lỗ không khống chế ở góc màn hình mà lại là chính giữa có vẻ hơi lạ so với những màn hình khác .
29	Tuy rằng đục lỗ không nhỏ như những chiếc Flagship nhưng nó cũng được không chế khá tốt để không ảnh hưởng nhiều tới trải nghiệm màn hình.	Tuy rằng đục lỗ không nhỏ như những chiếc Flagship nhưng nó cũng được không chế khá tốt để không ảnh hưởng nhiều tới trải nghiệm màn hình .
30	Cạnh tiếp xúc giữa màn hình và khung máy chình là dải loa thoại khá ngắn và dễ dàng nhìn thấy.	Cạnh tiếp xúc giữa màn hình và khung máy chình là dải loa thoại khá ngắn và dễ dàng nhìn thấy .
31	Mặt sau	Mặt sau
32	Mặt sau hoàn thiện bằng nhựa bóng như mình đã nói.	Mặt sau hoàn thiện bằng nhựa bóng như mình đã nói .
33	Nhưng điều này thực sự dễ hiểu khi nó phải hi sinh để có một viên pin lớn cùng trọng lượng chấp nhận được.	Nhưng điều này thực sự dễ hiểu khi nó phải hi sinh để có một viên pin lớn cùng trọng lượng chấp nhận được .
34	Nếu nó là mặt kính hoặc mặt nhôm thì trọng lượng sẽ rất lớn và bạn sẽ có cảm giác thực sự là cầm một “cục gạch” trong tay.	Nếu nó là mặt kính hoặc mặt nhôm thì trọng lượng sẽ rất lớn và bạn sẽ có cảm giác thực sự là cầm một “ cục gạch ” trong tay .
35	alt: Samsung Galaxy M51	alt : Samsung Galaxy M51
36	des: Samsung Galaxy M51	des : Samsung Galaxy M51
37	Nổi bật ở mặt sau này là một cụm 4 camera nằm trong khung hình chữ nhật trên góc trái.	Nổi bật ở mặt sau này là một cụm 4 camera nằm trong khung hình chữ nhật trên góc trái .
38	Trang bị ống kính chính lớn nhất mới 64MP nên cụm camera này không có nhô ra quá nhiều như chiếc  Samsung Galaxy S20  năm nay.	Trang bị ống kính chính lớn nhất mới 64MP nên cụm camera này không có nhô ra quá nhiều như chiếc Samsung Galaxy S20 năm nay .
39	Tất nhiên nó vẫn có độ chênh nhất định khi bạn đặt trên mặt bàn.	Tất nhiên nó vẫn có độ chênh nhất định khi bạn đặt trên mặt bàn .
40	Hoàn thiện nhựa bóng thực sự vẫn dễ bị xước và là trung tâm thu hút mồ hôi cùng với vân tay.	Hoàn thiện nhựa bóng thực sự vẫn dễ bị xước và là trung tâm thu hút mồ hôi cùng với vân tay .
41	Với một lớp vỏ này thì tốt nhất bạn nên dùng ốp lưng để có thể bảo vệ tốt nhất cho điện thoại nhé.	Với một lớp vỏ này thì tốt nhất bạn nên dùng ốp lưng để có thể bảo vệ tốt nhất cho điện thoại nhé .
42	Các cạnh còn lại	Các cạnh còn lại
43	Mặt sau hoàn thiện bằng nhựa thì khung máy cũng là nhựa và sơn bóng như vậy.	Mặt sau hoàn thiện bằng nhựa thì khung máy cũng là nhựa và sơn bóng như vậy .
44	Như thường lệ các cổng kết nối cùng nút bấm đều được tích hợp trên khung máy này.	Như thường lệ các cổng kết nối cùng nút bấm đều được tích hợp trên khung máy này .
45	alt: Samsung Galaxy M51	alt : Samsung Galaxy M51
46	des: Samsung Galaxy M51	des : Samsung Galaxy M51
47	Cạnh bên trái Galaxy M51	Cạnh bên trái Galaxy M51
48	Cạnh bên trái không có gì ngoài khay sim.	Cạnh bên trái không có gì ngoài khay sim .
49	Bạn sẽ thấy khay sim có 2 vị trí cho thẻ sim và vị trí thẻ nhớ độc lập.	Bạn sẽ thấy khay sim có 2 vị trí cho thẻ sim và vị trí thẻ nhớ độc lập .
50	Vậy nên bạn không cần phải phân vân giữa mở rộng bộ nhớ và dùng sim kép.	Vậy nên bạn không cần phải phân vân giữa mở rộng bộ nhớ và dùng sim kép .
51	alt: Samsung Galaxy M51	alt : Samsung Galaxy M51
52	des: Samsung Galaxy M51	des : Samsung Galaxy M51
53	Cạnh bên phải Galaxy M51	Cạnh bên phải Galaxy M51
54	Cạnh bên phải chứa nút nguồn cùng với phím tăng giảm âm lượng, chúng hơi dịch lên phía trên một chút so với các mẫu điện thoại khác.	Cạnh bên phải chứa nút nguồn cùng với phím tăng giảm âm lượng , chúng hơi dịch lên phía trên một chút so với các mẫu điện thoại khác .
55	Hơn nữa cảm biến vân tay được tích hợp trong phím nguồn vì thế phím nguồn được vát bằng và hơi lõm so với khung máy.	Hơn nữa cảm biến vân tay được tích hợp trong phím nguồn vì thế phím nguồn được vát bằng và hơi lõm so với khung máy .
56	alt: Samsung Galaxy M51	alt : Samsung Galaxy M51
57	des: Samsung Galaxy M51	des : Samsung Galaxy M51
58	Cạnh trên Galaxy M51	Cạnh trên Galaxy M51
59	Cạnh phía trên vẫn không có gì ngoài một chiếc micro phụ ở đây.	Cạnh phía trên vẫn không có gì ngoài một chiếc micro phụ ở đây .
60	alt: Samsung Galaxy M51	alt : Samsung Galaxy M51
61	des: Samsung Galaxy M51	des : Samsung Galaxy M51
62	Cạnh dưới Samsung Galaxy M51	Cạnh dưới Samsung Galaxy M51
63	Cạnh dưới rất đầy đủ và sự có mặt của jack cắm tai nghe 3.5 mm là điều đáng hoan nghênh khi mà hầu hết điện thoại cùng tầm giá đều cắt bỏ điều này.	Cạnh dưới rất đầy đủ và sự có mặt của jack cắm tai nghe 3.5 mm là điều đáng hoan nghênh khi mà hầu hết điện thoại cùng tầm giá đều cắt bỏ điều này .
64	Ngoài jack cắm tai nghe chúng ta còn có một khe cắm sạc USB type C, micro chính cùng với loa ngoài ở đây.	Ngoài jack cắm tai nghe chúng ta còn có một khe cắm sạc USB type C , micro chính cùng với loa ngoài ở đây .
65	Màn hình	Màn hình
66	Samsung Galaxy M51 được trang bị màn hình Super AMOLED 6.7 inch với độ phân giải Full HD+ (2400 x 1080).	Samsung Galaxy M51 được trang bị màn hình Super AMOLED 6.7 inch với độ phân giải Full HD + ( 2400 x 1080 ) .
67	Tuy nhiên màn hình này chỉ được bảo vệ bởi một tấm cường lực Corning gorilla glass 3 mà thôi.	Tuy nhiên màn hình này chỉ được bảo vệ bởi một tấm cường lực Corning gorilla glass 3 mà thôi .
68	Trong khi điện thoại hiện nay đã có một miếng tấm kính mới thế hệ thứ 7 mà Corning gọi là Victus.	Trong khi điện thoại hiện nay đã có một miếng tấm kính mới thế hệ thứ 7 mà Corning gọi là Victus .
69	alt: Samsung Galaxy M51	alt : Samsung Galaxy M51
70	des: Samsung Galaxy M51	des : Samsung Galaxy M51
71	Còn một điều đáng tiếc khác chính là tốc độ làm mới của màn hình Galaxy M51 chỉ ở mức mặc định 60Hz mà thôi.	Còn một điều đáng tiếc khác chính là tốc độ làm mới của màn hình Galaxy M51 chỉ ở mức mặc định 60Hz mà thôi .
72	Điều này vẫn để mình cảm thấy tiếc nuối vì Samsung thường vẫn nhỉnh hơn các thương hiệu khác ở chất lượng màn hình nhưng giờ đây nó vẫn thua kém ở tốc độ làm mới.	Điều này vẫn để mình cảm thấy tiếc nuối vì Samsung thường vẫn nhỉnh hơn các thương hiệu khác ở chất lượng màn hình nhưng giờ đây nó vẫn thua kém ở tốc độ làm mới .
73	So sánh một chút với chiếc Realme 6 hoặc Realme 7 có tốc độ làm mới 90Hz. Hay một sản phẩm của Xiaomi là POCO X2 có tốc độ 120 Hz. Hơn nữa mức giá của chúng là tương đương với chiếc M51 này.	So sánh một chút với chiếc Realme 6 hoặc Realme 7 có tốc độ làm mới 90Hz . Hay một sản phẩm của Xiaomi là POCO X2 có tốc độ 120 Hz . Hơn nữa mức giá của chúng là tương đương với chiếc M51 này .
74	Nếu bạn trải nghiệm thực tế bạn sẽ thấy mặc dù chipset của nó là Snapdragon 730G nhưng độ mượt khi chơi game không thể so sánh với màn hình 90Hz cùng chipset.	Nếu bạn trải nghiệm thực tế bạn sẽ thấy mặc dù chipset của nó là Snapdragon 730G nhưng độ mượt khi chơi game không thể so sánh với màn hình 90Hz cùng chipset .
75	Tuy nói về những điểm yếu như vậy nhưng khả năng hiển thị của nó vẫn rất tốt với tấm nền “Super AMOLED plus” nhé.	Tuy nói về những điểm yếu như vậy nhưng khả năng hiển thị của nó vẫn rất tốt với tấm nền “ Super AMOLED plus ” nhé .
76	Nó vẫn là Diamond PenTil nhưng là một bảng điều khiển mỏng hơn, các góc nhìn tuyệt vời hơn.	Nó vẫn là Diamond PenTil nhưng là một bảng điều khiển mỏng hơn , các góc nhìn tuyệt vời hơn .
77	Tất nhiên độ tương phản màn hình AMOLED gần như vô cực rồi.	Tất nhiên độ tương phản màn hình AMOLED gần như vô cực rồi .
78	Độ tái hiện màu sắc tự nhiên được hiệu chỉnh theo sRGB và DCI-P3 nhờ có quản lý màu tự động.	Độ tái hiện màu sắc tự nhiên được hiệu chỉnh theo sRGB và DCI-P3 nhờ có quản lý màu tự động .
79	Phần mềm	Phần mềm
80	Samsung Galaxy M51 chạy hệ điều hành Android 10 với giao diện người dùng One UI 2.1 Core.	Samsung Galaxy M51 chạy hệ điều hành Android 10 với giao diện người dùng One UI 2.1 Core .
81	Với phiên bản phần mềm này bạn sẽ có nhiều tính năng mới như ghi màn hình tích hợp và chế độ máy ảnh Pro đầy đủ.	Với phiên bản phần mềm này bạn sẽ có nhiều tính năng mới như ghi màn hình tích hợp và chế độ máy ảnh Pro đầy đủ .
82	Đổi lại bạn sẽ không có Samsung Pay và các tính năng như bảo mật thư mục.	Đổi lại bạn sẽ không có Samsung Pay và các tính năng như bảo mật thư mục .
83	Ngay cả khi phần mềm được cập nhật thì những tính năng này cũng không thể có được vì điện thoại dòng M không có chứng nhận Knox.	Ngay cả khi phần mềm được cập nhật thì những tính năng này cũng không thể có được vì điện thoại dòng M không có chứng nhận Knox .
84	Vì thế sẽ không an toàn lắm cho những ứng dụng của bạn, tất nhiên bảo mật hệ thống vẫn rất tốt chỉ cần bạn cẩn thận một chút là được.	Vì thế sẽ không an toàn lắm cho những ứng dụng của bạn , tất nhiên bảo mật hệ thống vẫn rất tốt chỉ cần bạn cẩn thận một chút là được .
85	alt: Đánh giá điện thoại Samsung Galaxy M51 11	alt : Đánh giá điện thoại Samsung Galaxy M51 11
86	des: Đánh giá điện thoại Samsung Galaxy M51 11	des : Đánh giá điện thoại Samsung Galaxy M51 11
87	One UI 2.1 Core mới của Samsung bây giờ đã được hoàn thiện hơn nhiều và cung cấp cho bạn những trải nghiệm mượt mà và không gặp bất kỳ trục trặc nào.	One UI 2.1 Core mới của Samsung bây giờ đã được hoàn thiện hơn nhiều và cung cấp cho bạn những trải nghiệm mượt mà và không gặp bất kỳ trục trặc nào .
88	Chủ đề tối toàn hệ thống và lọc ánh sáng xanh rất được yêu thích vì sử dụng điện thoại trong không gian tối sẽ dễ dàng hơn khi không bị chói mắt.	Chủ đề tối toàn hệ thống và lọc ánh sáng xanh rất được yêu thích vì sử dụng điện thoại trong không gian tối sẽ dễ dàng hơn khi không bị chói mắt .
89	Có một tính năng cực hay ở phiên bản One UI mới này nữa chính là thông báo bật lên thông minh.	Có một tính năng cực hay ở phiên bản One UI mới này nữa chính là thông báo bật lên thông minh .
90	Bất cứ khi nào bạn nhận được thông báo từ ứng dụng thì nó sẽ xuất hiện dưới dạng bong bóng như của messenger.	Bất cứ khi nào bạn nhận được thông báo từ ứng dụng thì nó sẽ xuất hiện dưới dạng bong bóng như của messenger .
91	Bạn có thể nhấp vào đó và nó sẽ hiển thị một cửa số nổi y chang messenger.	Bạn có thể nhấp vào đó và nó sẽ hiển thị một cửa số nổi y chang messenger .
92	Tuy nhiên kích thước và độ mờ của cửa sổ nổi này bạn có thể điều chỉnh được.	Tuy nhiên kích thước và độ mờ của cửa sổ nổi này bạn có thể điều chỉnh được .
93	Một điểm hay nữa là bạn chỉ cần vuốt từ trên xuống dưới ở cảm biến vân tay, bảng thông báo sẽ tự đọng kéo xuống dù bạn đang ở chế độ nào.	Một điểm hay nữa là bạn chỉ cần vuốt từ trên xuống dưới ở cảm biến vân tay , bảng thông báo sẽ tự đọng kéo xuống dù bạn đang ở chế độ nào .
94	Hiệu năng	Hiệu năng
95	Samsung Galaxy M51 trang bị bộ xử lý Snapdragon 730G 8nm.	Samsung Galaxy M51 trang bị bộ xử lý Snapdragon 730G 8nm .
96	Đó là chipset lõi tám (2×2,2 GHz Kryo 470 Gold và 6×1,8 GHz Kryo 470 Silver) cùng với GPU Adreno 618.	Đó là chipset lõi tám ( 2 × 2,2 GHz Kryo 470 Gold và 6 × 1,8 GHz Kryo 470 Silver ) cùng với GPU Adreno 618 .
97	Đây là điện thoại Galaxy M-series thứ 4 trang bị bộ xử lý của Qualcomm.	Đây là điện thoại Galaxy M-series thứ 4 trang bị bộ xử lý của Qualcomm .
98	Trước đó chúng ta cũng bắt gặp ở  Galaxy M41 , Galaxy M01 và Galaxy M11 nhưng Snapdragon 730G cho phép M51 trở thành điện thoại mạnh mẽ nhất trong dòng M.	Trước đó chúng ta cũng bắt gặp ở Galaxy M41 , Galaxy M01 và Galaxy M11 nhưng Snapdragon 730G cho phép M51 trở thành điện thoại mạnh mẽ nhất trong dòng M .
99	alt: Đánh giá điện thoại Samsung Galaxy M51	alt : Đánh giá điện thoại Samsung Galaxy M51
100	des: Đánh giá điện thoại Samsung Galaxy M51	des : Đánh giá điện thoại Samsung Galaxy M51
101	Nhìn qua một chút khi chạy các bài kiểm tra hiệu năng, Galaxy M51 hoạt động kém hơn ở hầu hết các mức điểm chuẩn phổ biến.	Nhìn qua một chút khi chạy các bài kiểm tra hiệu năng , Galaxy M51 hoạt động kém hơn ở hầu hết các mức điểm chuẩn phổ biến .
102	Điểm số Geekbench 5 của nó thấp hơn so với các thiết bị chạy Snapdragon 730G khác.	Điểm số Geekbench 5 của nó thấp hơn so với các thiết bị chạy Snapdragon 730G khác .
103	Có thể mình đã mong chờ quá nhiều ở điểm số PCMark, nhưng thực sự M51 vẫn có điểm số không tốt lắm!	Có thể mình đã mong chờ quá nhiều ở điểm số PCMark , nhưng thực sự M51 vẫn có điểm số không tốt lắm !
104	GPU Adreno 618 của Snapdragon 730G là một bước tiến so với Adreno 612 của Snapdragon 675.	GPU Adreno 618 của Snapdragon 730G là một bước tiến so với Adreno 612 của Snapdragon 675 .
105	Tuy nhiên, nó thua kém GPU Adreno 620 của Snapdragon 765G một chút.	Tuy nhiên , nó thua kém GPU Adreno 620 của Snapdragon 765G một chút .
106	Galaxy M51 một lần nữa cho điểm số và tốc độ khung hình thấp hơn so với các thiết bị chạy Snapdragon 730G khác.	Galaxy M51 một lần nữa cho điểm số và tốc độ khung hình thấp hơn so với các thiết bị chạy Snapdragon 730G khác .
107	Khả năng chơi game	Khả năng chơi game
108	Trước khi nói về khả năng chơi game, mình thấy tốc độ làm mới màn hình của chiếc M51 này chỉ ở mức 60Hz. Ban đầu cảm thấy quá thấp so với các màn hình có tốc độ làm mới 90 Hz hay 120 Hz của Realme hoặc Xiaomi.	Trước khi nói về khả năng chơi game , mình thấy tốc độ làm mới màn hình của chiếc M51 này chỉ ở mức 60Hz . Ban đầu cảm thấy quá thấp so với các màn hình có tốc độ làm mới 90 Hz hay 120 Hz của Realme hoặc Xiaomi .
109	Tuy nhiên tốc độ 60Hz được duy trì rất ổn định và không bị tụt khung hình khi chơi game.	Tuy nhiên tốc độ 60Hz được duy trì rất ổn định và không bị tụt khung hình khi chơi game .
110	Tất nhiên nó không thể lên cao hơn 60 được.	Tất nhiên nó không thể lên cao hơn 60 được .
111	Nói về khả năng chơi game thì con chip chuyên game Snapdragon 730G này là thoải mái cho bạn chơi rồi.	Nói về khả năng chơi game thì con chip chuyên game Snapdragon 730G này là thoải mái cho bạn chơi rồi .
112	Dù là những game đòi hỏi đồ họa cao cũng “cân” tốt, tất nhiên là mình đang nói tới max setting nha.	Dù là những game đòi hỏi đồ họa cao cũng “ cân ” tốt , tất nhiên là mình đang nói tới max setting nha .
113	alt: Đánh giá điện thoại Samsung Galaxy M51	alt : Đánh giá điện thoại Samsung Galaxy M51
114	des: Đánh giá điện thoại Samsung Galaxy M51	des : Đánh giá điện thoại Samsung Galaxy M51
115	Galaxy M51 chơi PUBG	Galaxy M51 chơi PUBG
116	Khi chơi PUBG mobile, mặc dù để max đồ họa nhưng nó vẫn cực kỳ mượt mà.	Khi chơi PUBG mobile , mặc dù để max đồ họa nhưng nó vẫn cực kỳ mượt mà .
117	Như mình nói màn hình rất ổn định ở 60Hz cùng với chip ngon thì việc ổn định hình ảnh ở 60 fps là quá dễ với sản phẩm này.	Như mình nói màn hình rất ổn định ở 60Hz cùng với chip ngon thì việc ổn định hình ảnh ở 60 fps là quá dễ với sản phẩm này .
118	Kể cả lúc bạn bung dù hay bắn “hội đồng” thì nó cũng rất mượt mà.	Kể cả lúc bạn bung dù hay bắn “ hội đồng ” thì nó cũng rất mượt mà .
119	Di chuyển dễ dàng, hiển thị bụi cỏ rung động và âm thanh các kiểu rất thật.	Di chuyển dễ dàng , hiển thị bụi cỏ rung động và âm thanh các kiểu rất thật .
120	PUBG là game đòi hỏi đồ họa rất cao mà còn chơi được như thế thì chơi Liên Quân cũng chẳng có gì trở ngại nó được cả.	PUBG là game đòi hỏi đồ họa rất cao mà còn chơi được như thế thì chơi Liên Quân cũng chẳng có gì trở ngại nó được cả .
121	Với cài đặt max đồ họa bạn sẽ có cảm nhận tuyệt vời hơn.	Với cài đặt max đồ họa bạn sẽ có cảm nhận tuyệt vời hơn .
122	Bụi cỏ lay động, farm quái cũng thấy thích.	Bụi cỏ lay động , farm quái cũng thấy thích .
123	Nhất là khi combat tổng, bạn sẽ thoải mái thể hiện kỹ năng của mình mà không bị cản trở bởi giật lag các kiểu.	Nhất là khi combat tổng , bạn sẽ thoải mái thể hiện kỹ năng của mình mà không bị cản trở bởi giật lag các kiểu .
124	Camera	Camera
125	Samsung Galaxy M51 được trang bị bộ tứ camera phía sau bao gồm:	Samsung Galaxy M51 được trang bị bộ tứ camera phía sau bao gồm :
126	Cùng với đó là một camera selfie được trang bị cảm biến lên tới 32 MP f / 2.0, 26mm, 1 / 2.8 “, 0.8µm.	Cùng với đó là một camera selfie được trang bị cảm biến lên tới 32 MP f / 2.0 , 26mm , 1 / 2.8 “ , 0.8µm .
127	alt: Đánh giá điện thoại Samsung Galaxy M51	alt : Đánh giá điện thoại Samsung Galaxy M51
128	des: Đánh giá điện thoại Samsung Galaxy M51	des : Đánh giá điện thoại Samsung Galaxy M51
129	Đối với phần mềm chụp ảnh, Samsung đã tích hợp tính năng “chụp một lần” để chụp ảnh và quay video với tất cả các ống kính cùng lúc.	Đối với phần mềm chụp ảnh , Samsung đã tích hợp tính năng “ chụp một lần ” để chụp ảnh và quay video với tất cả các ống kính cùng lúc .
130	Điều này cho bạn những bức ảnh và khoảnh khắc đẹp nhất cho mỗi khung hình.	Điều này cho bạn những bức ảnh và khoảnh khắc đẹp nhất cho mỗi khung hình .
131	Tính năng này mới chỉ tìm thấy trên các sản phẩm cao cấp của Samsung như S20 và Note 20 series năm nay.	Tính năng này mới chỉ tìm thấy trên các sản phẩm cao cấp của Samsung như S20 và Note 20 series năm nay .
132	Tất nhiên sau khi chụp tất cả, bạn có thể lựa chọn cái nào đẹp thì để lại và không đẹp lắm thì không lưu.	Tất nhiên sau khi chụp tất cả , bạn có thể lựa chọn cái nào đẹp thì để lại và không đẹp lắm thì không lưu .
133	Tính năng này cũng được tích hợp ở camera trước.	Tính năng này cũng được tích hợp ở camera trước .
134	Camera chính	Camera chính
135	Trong điều kiện đủ sáng, camera chính tạo ra hình ảnh tuyệt vời.	Trong điều kiện đủ sáng , camera chính tạo ra hình ảnh tuyệt vời .
136	Độ sặc nét cao nhưng không quá mức, dải động rộng, màu sắc bão hòa nhẹ.	Độ sặc nét cao nhưng không quá mức , dải động rộng , màu sắc bão hòa nhẹ .
137	Nhìn chung là khả năng xử lý hình ảnh trong điều kiện đủ sáng khá tốt.	Nhìn chung là khả năng xử lý hình ảnh trong điều kiện đủ sáng khá tốt .
138	alt: Đánh giá điện thoại Samsung Galaxy M51	alt : Đánh giá điện thoại Samsung Galaxy M51
139	des: Đánh giá điện thoại Samsung Galaxy M51	des : Đánh giá điện thoại Samsung Galaxy M51
140	Ảnh chụp thường đủ sáng từ camera chính	Ảnh chụp thường đủ sáng từ camera chính
141	Bạn cũng có thể chụp ảnh ở chế độ 64MP.	Bạn cũng có thể chụp ảnh ở chế độ 64MP .
142	Kết quả bạn sẽ có hình ảnh sắc nét hơn và chi tiết hơn.	Kết quả bạn sẽ có hình ảnh sắc nét hơn và chi tiết hơn .
143	Nhưng đổi lại nó sẽ chiếm nhiều không gian lưu trữ hơn.	Nhưng đổi lại nó sẽ chiếm nhiều không gian lưu trữ hơn .
144	Trong điều kiện ánh sáng yếu, Galaxy M51 vẫn cho hình ảnh chất lượng tốt.	Trong điều kiện ánh sáng yếu , Galaxy M51 vẫn cho hình ảnh chất lượng tốt .
145	Có chế độ ban đêm hỗ trợ cho việc chụp ảnh.	Có chế độ ban đêm hỗ trợ cho việc chụp ảnh .
146	Bạn sẽ có một hình ảnh có độ phơi sáng khá cao hơn, nâng cao chi tiết ở những vùng tối hơn.	Bạn sẽ có một hình ảnh có độ phơi sáng khá cao hơn , nâng cao chi tiết ở những vùng tối hơn .
147	Đương nhiên khi bạn phong to hình ảnh lên sẽ thấy khá nhiều hạt mịn.	Đương nhiên khi bạn phong to hình ảnh lên sẽ thấy khá nhiều hạt mịn .
148	alt: Đánh giá điện thoại Samsung Galaxy M51	alt : Đánh giá điện thoại Samsung Galaxy M51
149	des: Đánh giá điện thoại Samsung Galaxy M51	des : Đánh giá điện thoại Samsung Galaxy M51
150	Ảnh chụp chế độ ban đêm từ camera chính	Ảnh chụp chế độ ban đêm từ camera chính
151	Nếu bạn chụp ảnh trong điều kiện ánh sáng đèn trong nhà thì hình ảnh cũng rất tốt.	Nếu bạn chụp ảnh trong điều kiện ánh sáng đèn trong nhà thì hình ảnh cũng rất tốt .
152	Nói chung không chê được điểm gì.	Nói chung không chê được điểm gì .
153	alt: Đánh giá điện thoại Samsung Galaxy M51	alt : Đánh giá điện thoại Samsung Galaxy M51
154	des: Đánh giá điện thoại Samsung Galaxy M51	des : Đánh giá điện thoại Samsung Galaxy M51
155	Ảnh chụp từ camera chính, ánh sáng đèn trong nhà	Ảnh chụp từ camera chính , ánh sáng đèn trong nhà
156	Camera góc cực rộng	Camera góc cực rộng
157	Camera góc cực rộng có một góc nhìn lên tới 123 độ, cho phép bạn lấy được trường ảnh rộng hơn khá nhiều so với các mẫu ultrawide khác.	Camera góc cực rộng có một góc nhìn lên tới 123 độ , cho phép bạn lấy được trường ảnh rộng hơn khá nhiều so với các mẫu ultrawide khác .
158	Nó giữ được màu sắc tốt và dải động khá cao.	Nó giữ được màu sắc tốt và dải động khá cao .
159	Có đôi khi các góc vẫn chưa thể so sánh được với camera chính nhưng nhìn chung là chấp nhận tốt.	Có đôi khi các góc vẫn chưa thể so sánh được với camera chính nhưng nhìn chung là chấp nhận tốt .
160	alt: Đánh giá điện thoại Samsung Galaxy M51	alt : Đánh giá điện thoại Samsung Galaxy M51
161	des: Đánh giá điện thoại Samsung Galaxy M51	des : Đánh giá điện thoại Samsung Galaxy M51
